,mapped_veh_id,date_hour,lat,lon,temp,main_feels_like,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,wind_gust,clouds_all,weather_id,weather_main,weather_description,weather_icon
2395,103.0,2023-02-20 20:00:00,50.3462,4.4251,,,,,,,,,,,,,,
4226,104.0,2023-01-28 11:00:00,50.3209,4.4394,,,,,,,,,,,,,,
4254,104.0,2023-01-29 18:00:00,50.3193,4.4403,,,,,,,,,,,,,,
4255,104.0,2023-01-29 19:00:00,50.3209,4.4394,,,,,,,,,,,,,,
4506,104.0,2023-02-18 12:00:00,50.3154,4.4452,,,,,,,,,,,,,,
4507,104.0,2023-02-18 13:00:00,50.3257,4.4383,,,,,,,,,,,,,,
4511,104.0,2023-02-18 17:00:00,50.3261,4.4384,,,,,,,,,,,,,,
4636,104.0,2023-02-28 06:00:00,50.3391,4.4259,,,,,,,,,,,,,,
4648,104.0,2023-02-28 18:00:00,50.3457,4.4324,,,,,,,,,,,,,,
6207,105.0,2023-01-24 18:00:00,50.343,4.426,,,,,,,,,,,,,,
6226,105.0,2023-01-25 13:00:00,50.3397,4.4301,,,,,,,,,,,,,,
6340,105.0,2023-02-02 21:00:00,50.342,4.431,,,,,,,,,,,,,,
6372,105.0,2023-02-06 11:00:00,50.3389,4.4366,,,,,,,,,,,,,,
6378,105.0,2023-02-06 17:00:00,50.3406,4.4277,,,,,,,,,,,,,,
6381,105.0,2023-02-06 20:00:00,50.3409,4.4316,,,,,,,,,,,,,,
6433,105.0,2023-02-09 06:00:00,50.3438,4.4238,,,,,,,,,,,,,,
6468,105.0,2023-02-10 21:00:00,50.3402,4.4334,,,,,,,,,,,,,,
6487,105.0,2023-02-12 08:00:00,50.3213,4.441,,,,,,,,,,,,,,
7172,106.0,2023-01-27 08:00:00,50.339,4.4361,,,,,,,,,,,,,,
7244,106.0,2023-02-07 06:00:00,50.335,4.4315,,,,,,,,,,,,,,
7347,106.0,2023-02-13 19:00:00,50.3405,4.4286,,,,,,,,,,,,,,
7377,106.0,2023-02-15 10:00:00,50.3402,4.4548,,,,,,,,,,,,,,
7422,106.0,2023-02-17 20:00:00,50.3392,4.4323,,,,,,,,,,,,,,
7428,106.0,2023-02-18 08:00:00,50.3215,4.4399,,,,,,,,,,,,,,
7618,106.0,2023-03-03 05:00:00,50.3329,4.4291,,,,,,,,,,,,,,
9158,107.0,2023-01-27 14:00:00,50.3436,4.4262,,,,,,,,,,,,,,
9246,107.0,2023-02-01 18:00:00,50.3474,4.4302,,,,,,,,,,,,,,
9285,107.0,2023-02-03 18:00:00,50.3393,4.4196,,,,,,,,,,,,,,
9509,107.0,2023-02-21 13:00:00,50.3387,4.4301,,,,,,,,,,,,,,
10643,108.0,2023-02-03 04:00:00,50.3411,4.4259,,,,,,,,,,,,,,
10854,108.0,2023-02-20 09:00:00,50.3403,4.4366,,,,,,,,,,,,,,
10908,108.0,2023-02-23 11:00:00,50.3347,4.4359,,,,,,,,,,,,,,
25926,115.0,2023-01-25 11:00:00,50.3446,4.4361,,,,,,,,,,,,,,
26102,115.0,2023-02-06 21:00:00,50.3457,4.4296,,,,,,,,,,,,,,
26117,115.0,2023-02-07 12:00:00,50.3372,4.433,,,,,,,,,,,,,,
26184,115.0,2023-02-11 09:00:00,50.3204,4.4384,,,,,,,,,,,,,,
26188,115.0,2023-02-11 13:00:00,50.3245,4.4372,,,,,,,,,,,,,,
26203,115.0,2023-02-14 05:00:00,50.3352,4.4276,,,,,,,,,,,,,,
26277,115.0,2023-02-24 08:00:00,50.3377,4.4352,,,,,,,,,,,,,,
26323,115.0,2023-02-28 19:00:00,50.3413,4.4183,,,,,,,,,,,,,,
26405,115.0,2023-03-04 08:00:00,50.3169,4.4424,,,,,,,,,,,,,,
26408,115.0,2023-03-04 11:00:00,50.3274,4.4365,,,,,,,,,,,,,,
26416,115.0,2023-03-04 19:00:00,50.3309,4.436,,,,,,,,,,,,,,
26439,115.0,2023-03-05 18:00:00,50.3265,4.4404,,,,,,,,,,,,,,
26470,115.0,2023-03-07 07:00:00,50.3451,4.4343,,,,,,,,,,,,,,
30250,117.0,2022-10-14 06:00:00,50.4684,4.8408,,,,,,,,,,,,,,
34785,120.0,2023-01-28 16:00:00,50.3213,4.4367,,,,,,,,,,,,,,
34790,120.0,2023-01-28 21:00:00,50.3284,4.4358,,,,,,,,,,,,,,
34798,120.0,2023-01-29 07:00:00,50.332,4.4314,,,,,,,,,,,,,,
34926,120.0,2023-02-08 05:00:00,50.344,4.432,,,,,,,,,,,,,,
34963,120.0,2023-02-10 16:00:00,50.3349,4.4385,,,,,,,,,,,,,,
34992,120.0,2023-02-14 06:00:00,50.3376,4.4242,,,,,,,,,,,,,,
34993,120.0,2023-02-14 07:00:00,50.3435,4.436,,,,,,,,,,,,,,
35071,120.0,2023-02-21 16:00:00,50.3281,4.4445,,,,,,,,,,,,,,
35193,120.0,2023-03-02 05:00:00,50.3279,4.4279,,,,,,,,,,,,,,
35214,120.0,2023-03-03 07:00:00,50.3403,4.4353,,,,,,,,,,,,,,
36781,121.0,2022-11-08 13:00:00,50.4681,4.8408,,,,,,,,,,,,,,
57121,131.0,2023-01-23 13:00:00,50.3391,4.4314,,,,,,,,,,,,,,
57150,131.0,2023-01-24 18:00:00,50.345,4.4264,,,,,,,,,,,,,,
57168,131.0,2023-01-25 12:00:00,50.3421,4.4447,,,,,,,,,,,,,,
57262,131.0,2023-02-02 21:00:00,50.345,4.43,,,,,,,,,,,,,,
57305,131.0,2023-02-06 21:00:00,50.3412,4.4319,,,,,,,,,,,,,,
57466,131.0,2023-02-17 04:00:00,50.3347,4.4242,,,,,,,,,,,,,,
57522,131.0,2023-02-24 19:00:00,50.3371,4.4358,,,,,,,,,,,,,,
57676,131.0,2023-03-07 10:00:00,50.3395,4.4537,,,,,,,,,,,,,,
60132,133.0,2023-02-03 11:00:00,50.342,4.4358,,,,,,,,,,,,,,
60146,133.0,2023-02-04 07:00:00,50.3291,4.438,,,,,,,,,,,,,,
60149,133.0,2023-02-04 10:00:00,50.3195,4.4445,,,,,,,,,,,,,,
60153,133.0,2023-02-05 09:00:00,50.3251,4.4394,,,,,,,,,,,,,,
60156,133.0,2023-02-05 12:00:00,50.3238,4.4374,,,,,,,,,,,,,,
60157,133.0,2023-02-05 13:00:00,50.3226,4.4408,,,,,,,,,,,,,,
60161,133.0,2023-02-05 17:00:00,50.3243,4.4394,,,,,,,,,,,,,,
60164,133.0,2023-02-05 20:00:00,50.3232,4.4384,,,,,,,,,,,,,,
60165,133.0,2023-02-05 21:00:00,50.3342,4.433,,,,,,,,,,,,,,
60187,133.0,2023-02-06 19:00:00,50.34,4.4271,,,,,,,,,,,,,,
60327,133.0,2023-02-21 08:00:00,50.3396,4.4352,,,,,,,,,,,,,,
60352,133.0,2023-02-22 16:00:00,50.3291,4.4411,,,,,,,,,,,,,,
60360,133.0,2023-02-23 08:00:00,50.345,4.4325,,,,,,,,,,,,,,
60418,133.0,2023-03-01 06:00:00,50.3395,4.4279,,,,,,,,,,,,,,
76471,140.0,2023-01-24 08:00:00,50.345,4.432,,,,,,,,,,,,,,
76478,140.0,2023-01-24 15:00:00,50.342,4.4196,,,,,,,,,,,,,,
76517,140.0,2023-01-31 05:00:00,50.3308,4.4292,,,,,,,,,,,,,,
76532,140.0,2023-02-01 04:00:00,50.3294,4.4261,,,,,,,,,,,,,,
76559,140.0,2023-02-02 11:00:00,50.3215,4.4388,,,,,,,,,,,,,,
76562,140.0,2023-02-02 14:00:00,50.3324,4.4311,,,,,,,,,,,,,,
76568,140.0,2023-02-02 20:00:00,50.335,4.4341,,,,,,,,,,,,,,
76591,140.0,2023-02-04 09:00:00,50.3284,4.4327,,,,,,,,,,,,,,
76594,140.0,2023-02-04 12:00:00,50.3289,4.4446,,,,,,,,,,,,,,
76595,140.0,2023-02-04 13:00:00,50.3367,4.4309,,,,,,,,,,,,,,
76599,140.0,2023-02-04 17:00:00,50.3398,4.4351,,,,,,,,,,,,,,
76602,140.0,2023-02-04 20:00:00,50.3316,4.4293,,,,,,,,,,,,,,
76607,140.0,2023-02-05 06:00:00,50.3262,4.4405,,,,,,,,,,,,,,
